R,AB,H,2B,3B,HR,BB,SO,SB,CS
746,5562,1423,292,19,188,550,1303.0,99.0,34.0
684,5489,1412,295,45,133,499,1043.0,148.0,53.0
780,5623,1494,310,24,191,513,982.0,116.0,46.0
712,5470,1419,229,41,95,650,802.0,67.0,55.0
720,3712,974,149,50,20,200,268.0,,
424,2211,622,51,36,5,43,22.0,16.0,7.0
615,5598,1442,309,28,95,401,1164.0,118.0,33.0
603,5483,1322,208,19,147,427,1027.0,119.0,45.0
247,1920,429,83,5,75,221,582.0,15.0,11.0
557,3356,871,92,35,2,34,64.0,65.0,33.0
577,5198,1277,194,59,35,516,632.0,179.0,
584,4982,1162,167,50,31,570,669.0,198.0,133.0
557,5168,1288,202,24,103,491,689.0,71.0,42.0
800,5602,1474,251,22,156,580,926.0,129.0,54.0
768,5610,1556,288,20,164,474,878.0,121.0,32.0
608,5457,1345,198,24,85,540,805.0,27.0,22.0
777,5406,1409,268,32,194,577,1077.0,67.0,36.0
897,5388,1594,251,47,136,482,405.0,85.0,
656,5057,1281,152,81,18,522,479.0,219.0,
596,5077,1330,204,55,22,470,467.0,78.0,54.0
484,5181,1246,147,91,20,372,618.0,173.0,
860,5615,1492,323,34,227,500,1099.0,69.0,36.0
256,2212,552,65,20,2,69,214.0,,
737,5572,1479,274,49,186,388,1283.0,97.0,43.0
729,5508,1401,251,37,112,647,847.0,56.0,36.0
592,5040,1318,180,80,20,448,561.0,224.0,
182,1213,278,34,16,2,125,152.0,101.0,
523,5101,1241,185,75,17,423,863.0,233.0,189.0
704,5476,1451,249,31,86,605,691.0,109.0,71.0
537,5290,1219,189,30,86,575,956.0,68.0,45.0
639,4773,1265,231,95,31,259,588.0,175.0,
672,5146,1363,222,59,30,447,479.0,239.0,
817,5397,1648,258,78,54,437,355.0,65.0,
801,5019,1390,252,25,186,564,889.0,58.0,39.0
557,5088,1266,197,77,31,313,600.0,137.0,
772,5562,1437,339,19,182,486,1372.0,112.0,26.0
573,5254,1297,193,46,33,561,581.0,173.0,87.0
759,4617,1195,161,65,29,531,257.0,238.0,
132,1562,304,33,6,2,8,36.0,1.0,5.0
615,5415,1334,198,34,102,561,797.0,66.0,58.0
731,5615,1468,301,25,194,479,1325.0,105.0,35.0
805,5585,1523,258,29,156,587,766.0,111.0,38.0
840,5278,1575,237,93,75,469,390.0,137.0,114.0
657,5465,1497,256,64,82,424,565.0,68.0,55.0
691,5472,1417,226,28,108,539,682.0,86.0,69.0
858,5290,1517,178,90,39,431,266.0,185.0,
601,5518,1346,216,31,98,579,954.0,108.0,58.0
612,5511,1405,203,35,112,491,885.0,90.0,47.0
719,5573,1459,221,35,152,488,973.0,109.0,56.0
589,4981,1234,143,61,16,407,598.0,187.0,
795,5581,1546,268,58,167,510,810.0,131.0,72.0
526,4966,1226,126,90,15,372,535.0,158.0,
